IndicatorCode,IndicatorName,Language,Category
GDO_q12x2x1x1_2,"Accessibility of psycho-social supports for dementia carers [Capital/capital and main cities/capital, main cities, rural areas]",EN,GDO
GDO_q12x2x1x1_2PRV,Majority provider of psycho-social supports for dementia carers (Private sector),EN,GDO
GDO_q12x2x1x1_3PRV,Majority provider of respite care for dementia carers (Private sector),EN,GDO
GDO_q12x2x1x1_4,"Accessibility of information on legal rights for dementia carers [Capital/capital and main cities/capital, main cities, rural areas]",EN,GDO
EMFLIMITPOWERDENSITY,Power density (W/m^2),EN,EMFLIMITPOWERDENSITY
EMFSAR,Specific absorption rate (SAR) (W/kg),EN,EMFSAR
EMFSTATUS,Legislative status,EN,EMFSTATUS
EQ_OVERWEIGHTADULT,Prevalence of overweight and obesity,EN,EQ
FINPROTECTION_CATA_TOT_10_LEVEL_MILLION,"Population with household spending on health greater than 10% of total household budget (SDG 3.8.2, estimated data) (millions)",EN,FINPROTECTION
FINPROTECTION_CATA_TOT_10_LEVEL_SH,"Population with household spending on health greater than 10% of total household budget (SDG 3.8.2, estimated data) (%)",EN,FINPROTECTION
FINPROTECTION_CATA_TOT_10_POP,"Population with household spending on health greater than 10% of total household budget (SDG 3.8.2, reported data) (%)",EN,FINPROTECTION
FINPROTECTION_CATA_TOT_25_LEVEL_MILLION,"Population with household spending on health greater than 25% of total household budget (SDG 3.8.2, estimated data) (millions)",EN,FINPROTECTION
FINPROTECTION_CATA_TOT_25_POP,"Population with household spending on health greater than 25% of total household budget (SDG 3.8.2, reported data) (%)",EN,FINPROTECTION
FINPROTECTION_IMP_NP_190_LEVEL_MILLION,Total population  pushed below the $1.90 a day  poverty line by household  health expenditures (millions),EN,FINPROTECTION
HRH_25,Pharmaceutical personnel density (per 1000 population),EN,HRH
HRH_43,Number of licensed qualified anaesthesiologists actively working,EN,HRH
HRH_45,Biomedical technicians density (per 10 000 population),EN,HRH
HSS_MONITORPROGRESS,Countries that have monitored the progress of their national health policy/strategy/plan regularly,EN,HSS
HSS_UHCLEGISLATION,Countries that have passed legislation on Universal Health Coverage (UHC),EN,HSS
HWF_0003,Generalist medical practitioners (number),EN,HWF
HWF_0005,Medical doctors not further defined (number),EN,HWF
FINPROTECTION_IMP_NP_310_LEVEL_MILLION,Total population pushed below the $3.20 a day poverty line by household health expenditures (millions),EN,FINPROTECTION
FINPROTECTION_IMP_NP_310_LEVEL_SH,"Total population pushed below the $3.20 a day poverty line by household health expenditures (%, regional, global)",EN,FINPROTECTION
fullv,Full immunization coverage among one-year-olds (%),EN,fullv
GB_XPD_RSDV,Research and development (R&amp;D) expenditure as a proportion of GDP,EN,GB
GDO_q10x1,National regulator approval of anti-dementia medication,EN,GDO
GDO_q10x2_1AVAIL,Availability of atleast one adult hygiene products for people with dementia,EN,GDO
AIR_18,Household air pollution  attributable DALYs per 100'000 children under 5 years,EN,AIR
AIR_4,Ambient air pollution attributable deaths in children under 5 years,EN,AIR
AIR_50,"Ambient air pollution attributable deaths (per 100 000 population, age-standardized)",EN,AIR
AIR_51,Household air pollution attributable death rate (per 100 000 population),EN,AIR
AIR_52,"Household air pollution attributable death rate (per 100 000 population, age-standardized)",EN,AIR
HWF_0009,Midwifery personnel (number),EN,HWF
HWF_0011,Dentists (number),EN,HWF
HWF_0012,Dental Assistants and Therapists (number),EN,HWF
HWF_0017,Environmental and Occupational Health and Hygiene Professionals  (number),EN,HWF
IHR03,Surveillance,EN,IHR03
IHR07,Human resources,EN,IHR07
IHR09,Points of entry,EN,IHR09
IHR12,Chemical,EN,IHR12
IR_ORGANOCHLORINE_PRESENCE,Organochlorine resistance reported for at least one site,EN,IR
itnch,Children aged < 5 years sleeping under insecticide-treated nets (%),EN,itnch
itnwm,Pregnant women sleeping under insecticide-treated nets (%),EN,itnwm
MENING_3,Number of meningitis epidemic districts,EN,MENING
MH_1,Mental health policy,EN,MH
MH_17,"Mental hospitals (per 100,000)",EN,MH
MH_2,Mental health plan,EN,MH
MH_7,"Nurses working in mental health sector (per 100,000)",EN,MH
MH_8,"Social workers working in mental health sector (per 100,000)",EN,MH
MORT_100,"Number of deaths in children aged <5 years, by cause",EN,MORT
MORT_300,Distribution of causes of death among children aged < 5 years (%),EN,MORT
GDO_q11x2x3,Dementia nongovernmental organization staff primarily salaried/volunteer,EN,GDO
GDO_q11x2x5,Provision of governmental funding to dementia nongovernmental organization for activities/services,EN,GDO
GDO_q12x2x1x1_2PUB,Majority provider of psycho-social supports for dementia carers (Public sector),EN,GDO
GDO_q12x2x1x1_3,"Accessibility of respite care for dementia carers [Capital/capital and main cities/capital, main cities, rural areas]",EN,GDO
HRH_05,Number of pharmaceutical technicians/assistants,EN,HRH
HRH_16,Number of traditional medicine practitioners,EN,HRH
HRH_17,Number of medical assistants,EN,HRH
EMFLIMITPOWERDENSITY900,Power density limit at 900 MHz (W/m^2),EN,EMFLIMITPOWERDENSITY900
EMFPOWERFREQUENCY,Power frequency (Hz),EN,EMFPOWERFREQUENCY
FINPROTECTION_CATA_ESTIMATE_AVAILABLE,Availability of estimates on large  health expenditures as a share of total expenditure or income,EN,FINPROTECTION
FINPROTECTION_CATA_TOT_25_LEVEL_SH,"Population with household spending on health greater than 25% of total household budget (SDG 3.8.2, estimated data) (%)",EN,FINPROTECTION
FINPROTECTION_IMP_NP_190_LEVEL_SH,Total population  pushed below the $1.90 a day  poverty line by household  health expenditures (%),EN,FINPROTECTION
HRH_20,Number of laboratory health workers,EN,HRH
HRH_21,Number of dentistry personnel,EN,HRH
HRH_22,Number of community and traditional health workers,EN,HRH
HRH_23,Number of other health workers,EN,HRH
HRH_24,Number of nursing and midwifery personnel,EN,HRH
HRH_28,Dentistry personnel density (per 1000 population),EN,HRH
HRH_29,Community and traditional health workers density (per 1000 population),EN,HRH
HRH_40,Biomedical engineers density (per 10 000 population),EN,HRH
HRH_41,Number of licensed qualified surgeons actively working,EN,HRH
HRH_42,Number of licensed qualified obstetricians actively working,EN,HRH
HRH_44,Number of biomedical engineers,EN,HRH
FINPROTECTION_IMP_NP310_POP,"Population pushed below the $3.20 a day poverty line by household health expenditures (%, national, rural, urban)",EN,FINPROTECTION
FINPROTECTION_IMP_PG_310,"Increase in poverty gap  due to household  health expenditures at the $3.10a day poverty line, in cents of international dollars",EN,FINPROTECTION
FINPROTECTION_IMP_PG_310_STD,"Increase in poverty gap due to household health expenditures, expressed as a proportion of the $3.20 a-day poverty line (%, national, rural, urban)",EN,FINPROTECTION
fpsmo,Demand for family planning satisfied - modern methods (%),EN,fpsmo
GDO_q10x2_TECH,Availability of  atleast one assistive technology for people with dementia,EN,GDO
GDO_q11x1,Existence of dementia national nongovernmental organization,EN,GDO
GDO_q11x2x2_1,Dementia nongovernmental organization office branches (Sub-national),EN,GDO
GDO_q11x2x2_2,Dementia nongovernmental organization office branches (Local),EN,GDO
GDO_q11x2x2_3,Dementia nongovernmental organization office branches (National only),EN,GDO
GDO_q11x2x6,Dementia nongovernmental organization's involvement in policy development,EN,GDO
GDO_q12x1x3,Existence of implementation plan for dementia carer support services,EN,GDO
GDO_q12x2_5,Existence of financial benefits/social protection for dementia carers,EN,GDO
GDO_q12x2x1x1_3NGO,Majority provider of respite care for dementia carers (NGO),EN,GDO
GDO_q12x2x1x1_4PRV,Majority provider of information on legal rights for dementia carers (Private sector),EN,GDO
GDO_q12x2x1x1_2NGO,Majority provider of psycho-social supports for dementia carers (NGO),EN,GDO
AIR_6,Ambient air pollution  attributable deaths per 100'000 children under 5 years,EN,AIR
AIR_60,Household and ambient air pollution attributable DALYs,EN,AIR
GDO_q12x2x1x1_4PUB,Majority provider of information  on legal rights for dementia carers (Public sector),EN,GDO
GDO_q12x2x1x1_5PUB,Majority provider of information  on financial benefits/social protection for dementia carers (Public sector),EN,GDO
GDO_q12x2x2x3,Estimated number of dementia carers receiving psycho-social supports,EN,GDO
GDO_q12x2x1x3,Estimated number of dementia carers receiving training and education,EN,GDO
AIR_62,"Household and ambient air pollution attributable DALYs (per 100 000 capita, age-standardized)",EN,AIR
GDO_q12x2x3x3,Estimated number of dementia carers receiving respite care,EN,GDO
GDO_q12x2x4x3,Estimated number of dementia carers receiving information on legal rights,EN,GDO
GDO_q13x1,Existence of at least one functioning dementia awareness campaign,EN,GDO
GDO_q13x1x1,Implementation level [national/subnational] of dementia awareness campaign,EN,GDO
GDO_q13x3,Existence of at least one functioning risk reduction campaign,EN,GDO
AIR_61,Household and ambient air pollution attributable DALYs (per 100 000 capita),EN,AIR
AIR_63,Household and ambient air pollution attributable DALYs in children under 5 years ('000),EN,AIR
AIR_9,Ambient air pollution attributable DALYs  (per 100 000 population),EN,AIR
AMR_GI_001,Status of countries enrolled in GLASS,EN,AMR
AMRGLASS_COORD01,Functioning national AMR surveillance plan,EN,AMRGLASS
AMRGLASS_QA02,EQA provided for bacterial identification and AST,EN,AMRGLASS
AIR_8,Ambient air pollution attributable DALYs  in children under 5 years,EN,AIR
AIR_90,"Ambient air pollution attributable DALYs  (per 100 000 population, age-standardized)",EN,AIR
AMR_GI_002,Status of National coordination center establishment,EN,AMR
AMR_GI_003,Status of National plans to implement and strengthen antimicrobial surveillance,EN,AMR
AMRGLASS_COORD03,Nomination of National Focal Point (NFP),EN,AMRGLASS
AMRGLASS_SURVL03,Number of local clinical laboratories in each country performing AST to support national AMR surveillance sites,EN,AMRGLASS
anc15,Antenatal care coverage - at least one visit (in the five years preceding the survey) (%),EN,anc15
anc4,Antenatal care coverage - at least four visits (in the two or three years preceding the survey) (%),EN,anc4
bcgv,BCG immunization coverage among one-year-olds (%),EN,bcgv
MORT_MATERNALNUM,Number of maternal deaths,EN,MORT
GDO_q12x2x1x1_5,"Accessibility of financial benefits/social protection for dementia carers [Capital/capital and main cities/capital, main cities, rural areas]",EN,GDO
GDO_q12x2x1x1_5PRV,Majority provider of information on financial benefits/social protection for dementia carers (Private sector),EN,GDO
AMRGLASS_QA03,EQA provided to local laboratories participating in GLASS,EN,AMRGLASS
AMRGLASS_SURVL02,Number of National surveillance sites in each country providing data to GLASS: outpatient facility category,EN,AMRGLASS
MORT_200,Deaths per 1 000 live births,EN,MORT
NCD_BMI_18C,"Prevalence of underweight among adults, BMI < 18 (crude estimate) (%)",EN,NCD
NCD_BMI_25C,"Prevalence of overweight among adults, BMI &GreaterEqual; 25 (crude estimate) (%)",EN,NCD
NCD_BMI_30A,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (age-standardized estimate) (%)",EN,NCD
GDO_q14x1,Availability of dementia-friendly initiatives that improve accessibility,EN,GDO
GDO_q14x2_2,Existence of dementia-friendly initiative to improve accessibility of public transportation,EN,GDO
GDO_q14x2_3,Existence of dementia-friendly initiative for assistance with home modification,EN,GDO
GDO_q14x2_4,Existence of dementia-friendly initiative with assistive technology for loss of capacity,EN,GDO
GDO_q14x2_5,Existence of dementia-friendly initiative supporting community places for older people,EN,GDO
MORT_400,Deaths per 100 000 population,EN,MORT
MORTADO,Adolescent mortality rate (per 1 000 age specific cohort),EN,MORTADO
NCD_BMI_MEAN,Mean BMI (kg/m²) (age-standardized estimate),EN,NCD
GDO_q15x2_5,Existence of dementia training for community workers,EN,GDO
GDO_q16x1,Routine monitoring of people with dementia,EN,GDO
GDO_q16x1x1_1,Data sources used to routinely monitor people with dementia (Clinical records),EN,GDO
NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),EN,NCD
NCD_BMI_PLUS1A,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (age-standardized estimate) (%)",EN,NCD
NCD_BMI_PLUS2C,"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (crude estimate) (%)",EN,NCD
NCD_CCS_Aspirin,General availability of aspirin (100 mg) in the public health sector,EN,NCD
asfr1,Adolescent fertility rate (per 1000 women aged 15-19 years),EN,asfr1
ASSISTIVETECH_METNEED,Prevalence of met need of assistive products (%),EN,ASSISTIVETECH
NCD_BMI_PLUS1C,"Prevalence of overweight among children and adolescents, BMI > +1 standard deviations above the median (crude estimate) (%)",EN,NCD
BP_03,Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),EN,BP
GDO_q16x1x1_3,Data sources used to routinely monitor people with dementia (Administrative data),EN,GDO
GDO_q16x1x1_4,Data sources used to routinely monitor people with dementia (Facility survey or records),EN,GDO
MORT_600,Projection of number of deaths,EN,MORT
mslv,Measles immunization coverage among one-year-olds (%),EN,mslv
NCD_BMI_18A,"Prevalence of underweight among adults, BMI < 18 (age-standardized estimate) (%)",EN,NCD
Camp_airtime,Process evaluation was employed to assess implementation,EN,Camp
Camp_media_planning,Campaign utilized media planning,EN,Camp
Camp_news,Earned media/public relations were used to promote the campaign,EN,Camp
Camp_tv_radio,Campaign aired on television and/or radio,EN,Camp
carep,Children aged < 5 years with pneumonia symptoms taken to a health facility (%),EN,carep
CaseCS,"Congenital syphilis number of cases, reported",EN,CaseCS
NCD_BMI_30C,"Prevalence of obesity among adults, BMI &GreaterEqual; 30 (crude estimate) (%)",EN,NCD
NCD_BMI_MINUS2A,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (age-standardized estimate) (%)",EN,NCD
NCD_BMI_MINUS2C,"Prevalence of thinness among children and adolescents, BMI < -2 standard deviations below the median (crude estimate) (%)",EN,NCD
NCD_CCS_ACE,General availability of ACE inhibitors in the public health sector,EN,NCD
anc45,Antenatal care coverage - at least four visits (in the five years preceding the survey) (%),EN,anc45
BP_05,Mean systolic blood pressure (crude estimate),EN,BP
BP_06,Mean systolic blood pressure (age-standardized estimate),EN,BP
Camp_eval_impact,Outcome evaluation was employed to assess effectiveness,EN,Camp
Camp_nat,At least one national mass media campaign ran during the survey period,EN,Camp
CATARACTSURGICAL,Cataract surgical coverage of adults aged 50 and over (%),EN,CATARACTSURGICAL
CC_2,Climate change attributable DALYs ('000),EN,CC
CC_8,Climate change  attributable DALYs per 100'000 children under 5 years,EN,CC
CCO_1,Poverty headcount ratio at $1.25 a day (PPP) (% of population),EN,CCO
GDO_q12x2x1x1_1NGO,Majority provider of dementia carer training and education (NGO),EN,GDO
HWF_0013,Dental Prosthetic Technicians (number),EN,HWF
HWF_0015,Pharmacists  (number),EN,HWF
HWF_0019,Medical and Pathology Laboratory scientists  (number),EN,HWF
HWF_0020,Medical and Pathology Laboratory Technicians  (number),EN,HWF
CC_7,Climate change attributable DALYs ('000) in children under 5 years,EN,CC
cci,Composite coverage index (%),EN,cci
CCO_3,Gender inequality index rank,EN,CCO
CHOLERA_0000000002,Number of reported deaths from cholera,EN,CHOLERA
GDO_q14x2_6,Existence of dementia-friendly initiative supporting social opportunities,EN,GDO
HWF_0024,Community Health Workers (number),EN,HWF
IHR05,Preparedness,EN,IHR05
IR_CARBAMATE_EXTENT,Percentage of sites for which carbamate resistance was reported,EN,IR
IR_INSECTICIDERESISTANCE_PREV,Number of insecticide classes to which resistance was reported,EN,IR
GDO_q15x2_2,Existence of dementia training for police and fire services,EN,GDO
GDO_q15x2_3,Existence of dementia training for first responders,EN,GDO
GDO_q16x1x1_2,Data sources used to routinely monitor people with dementia (Household surveys),EN,GDO
ITU_ICT_1,Percentage of individuals using the Internet,EN,ITU
AIR_15,Household air pollution attributable DALYs,EN,AIR
AIR_45,Ambient air pollution attributable YLLs,EN,AIR
AIR_7,Ambient air pollution attributable DALYs,EN,AIR
CC_3,Climate change attributable deaths per 100'000 capita,EN,CC
CC_5,Climate change attributable deaths ('000) in children under 5 years,EN,CC
CC_6,Climate change  attributable deaths per 100'000 children under 5 years,EN,CC
GDO_q15x1,Inclusion of dementia training and education for non-health workers,EN,GDO
GDO_q15x2_1,Existence of dementia training for volunteers,EN,GDO
GDO_q15x2_4,Existence of dementia training for legal professionals,EN,GDO
GDO_q15x2_6,Existence of dementia training for school children,EN,GDO
GDO_q16x1x1_other,Data sources used to routinely monitor people with dementia (Other),EN,GDO
GDO_q16x1x2_1,Electronic availability of data sources used to routinely monitor people with dementia,EN,GDO
GDO_q16x2_1,Availability of routine hospital admissions records for people with dementia for monitoring purposes,EN,GDO
GDO_q16x2_2,Availability of routine outpatient visit records for people with dementia for monitoring purposes,EN,GDO
GDO_q16x1x2_2,Data used to routinely monitor people with dementia can be disaggregated,EN,GDO
GDO_q16x2_3,Availability of routine outpatient intervention and treatment records for people with dementia for monitoring purposes,EN,GDO
cpmt,Contraceptive prevalence - modern and traditional methods (%),EN,cpmt
csection,Births by caesarean section (in the two or three years preceding the survey) (%),EN,csection
GDO_q17x2x1_3,Identification of other research plans in which dementia is integrated (Neuro or neurodegenerative disease),EN,GDO
GDO_q18x2x3_3,"Total expenditure on dementia implementation research (local currency, self-report)",EN,GDO
GDO_q19x2,Number of people with dementia involved in research routinely monitored,EN,GDO
GDO_q19x3x1_1,Number of investigational pharmaceutical trials for dementia,EN,GDO
GDO_q16x2_4,Availability of routine pharmaceutical records for people with dementia for monitoring purposes,EN,GDO
GDO_q17x2,Dementia integrated into other national research plan/programme,EN,GDO
CCO_2,Human development index rank,EN,CCO
CHILDMORT5TO14,Mortality rate for 5-14 year-olds (probability of dying per 1000 children aged 5-14 years),EN,CHILDMORT5TO14
CHOLERA_0000000001,Number of reported cases of cholera,EN,CHOLERA
DEVICES00,Total density per 100 000 population: Hospitals,EN,DEVICES00
DEVICES05,Total density per 100 000 population: Specialized hospitals,EN,DEVICES05
DEVICES15,Health technology (medical device) national policy,EN,DEVICES15
CM_03,Number of neonatal deaths,EN,CM
csection5,Births by caesarean section (in the five years preceding the survey) (%),EN,csection5
DEVICES03,Total density per 100 000 population: District/rural hospitals,EN,DEVICES03
DEVICES04,Total density per 100 000 population: Provincial hospitals,EN,DEVICES04
CM_01,Number of under-five deaths,EN,CM
CM_02,Number of infant deaths,EN,CM
DEVICES07,Types of lists recommending health technology for high burden diseases,EN,DEVICES07
DEVICES08,Total density per million population: Magnetic Resonance Imaging,EN,DEVICES08
DEVICES09,Total density per million population: Computed tomography units,EN,DEVICES09
DEVICES11,Total density per million population: Gamma camera or Nuclear medicine,EN,DEVICES11
DEVICES12,Total density per million population: Linear Accelerator,EN,DEVICES12
DEVICES16,Unit in the Ministry of Health responsible for the management of medical devices,EN,DEVICES16
DEVICES17,Procurement of medical devices carried out at the national level,EN,DEVICES17
GDO_q12x2x1x1_3PUB,Majority provider of respite care for dementia carers (Public sector),EN,GDO
GDO_q12x2x1x1_4NGO,Majority provider of information on legal rights for dementia carers (NGO),EN,GDO
GDO_q12x2x1x1_5NGO,Majority provider of information on financial benefits/social protection for dementia carers (NGO),EN,GDO
GDO_q12x2x5x3,Estimated number of dementia carers receiving financial benefits/social protection,EN,GDO
GDO_q13x3x1,Implementation level [national/subnational] of dementia risk reduction campaign,EN,GDO
MH_13,"Beds for mental health in general hospitals (per 100,000)",EN,MH
MH_16,"Beds in mental hospitals (per 100,000)",EN,MH
MH_18,"Mental health units in general hospitals (per 100,000)",EN,MH
MH_22,"Occupational therapists in mental health sector (per 100,000)",EN,MH
MH_3,Stand-alone mental health legislation,EN,MH
dptv,DTP3 immunization coverage among one-year-olds (%),EN,dptv
NCD_CCS_betablockers,General availability of beta blockers in the public health sector,EN,NCD
